time,open,high,low,close,tick_volume,spread,real_volume,ema20,ema50,ema_spread,atr14,rsi14,htf_trend
2026-01-19 01:00:00,4621.06,4690.69,4621.06,4671.37,25308,4,0,4602.767502325052,4603.549526136513,-0.782023811460931,27.147857142857124,66.62116040955635,UP
2026-01-19 01:00:00,4621.06,4690.69,4621.06,4672.41,25451,4,0,4602.8665499440995,4603.590310450323,-0.723760506223698,27.147857142857124,66.78956049286896,UP
2026-01-19 01:00:00,4621.06,4690.69,4621.06,4676.69,25669,4,0,4603.274168991719,4603.758153587923,-0.4839845962032996,27.147857142857124,67.46506986027944,UP
2026-01-19 01:00:00,4621.06,4690.69,4621.06,4676.23,25875,4,0,4603.23035946791,4603.740114372199,-0.5097549042893661,27.147857142857124,67.3937892931987,UP
2026-01-19 01:00:00,4621.06,4690.69,4621.06,4675.55,26030,4,0,4603.1655975631475,4603.713447705478,-0.5478501423303896,27.147857142857124,67.28784403669734,UP
2026-01-19 01:00:00,4621.06,4690.69,4621.06,4675.29,26276,4,0,4603.140835658385,4603.703251627026,-0.56241596864038,27.147857142857124,67.2471533824515,UP
2026-01-19 01:00:00,4621.06,4690.69,4621.06,4675.86,26421,4,0,4603.195121372672,4603.725604568248,-0.5304831955763802,27.147857142857124,67.33622787346725,UP
2026-01-19 01:00:00,4621.06,4690.69,4621.06,4674.47,26562,4,0,4603.0627404202905,4603.671094764214,-0.6083543439235655,27.147857142857124,67.11815561959665,UP
2026-01-19 01:00:00,4621.06,4690.69,4621.06,4673.89,26706,4,0,4603.007502325052,4603.6483496661285,-0.640847341076551,27.147857142857124,67.0262980445045,UP
2026-01-19 02:00:00,4672.52,4675.28,4672.17,4674.34,56,4,0,4609.683023645568,4606.3689526704275,3.3140709751405666,26.698571428571345,68.08583272372584,UP
2026-01-19 02:00:00,4672.52,4675.96,4670.65,4671.57,328,4,0,4609.419214121759,4606.260325219224,3.158888902535182,26.855714285714253,67.48457243608553,UP
2026-01-19 02:00:00,4672.52,4675.96,4668.48,4669.52,615,4,0,4609.223976026521,4606.179933062196,3.0440429643249445,27.01071428571426,66.81375163652231,UP
2026-01-19 02:00:00,4672.52,4675.96,4668.48,4671.08,801,4,0,4609.372547455092,4606.24110953291,3.131437922182158,27.01071428571426,67.32300776860292,UP
2026-01-19 02:00:00,4672.52,4675.96,4668.48,4671.52,1003,4,0,4609.414452216997,4606.258364434906,3.156087782091163,27.01071428571426,67.46805072712135,UP
2026-01-19 02:00:00,4672.52,4675.96,4668.48,4670.37,1109,4,0,4609.304928407473,4606.213266395597,3.0916620118759965,27.01071428571426,67.09027169149849,UP
2026-01-19 02:00:00,4672.52,4675.96,4668.48,4672.61,1257,4,0,4609.518261740806,4606.301109533033,3.2171522077733243,27.01071428571426,67.81428290379682,UP
2026-01-19 02:00:00,4672.52,4675.96,4668.48,4673.21,1436,4,0,4609.575404597949,4606.324638944847,3.2507656531024622,27.01071428571426,67.90898391526079,UP
2026-01-19 02:00:00,4672.52,4675.96,4668.48,4671.7,1578,4,0,4609.431595074139,4606.26542325845,3.1661718156892675,27.01071428571426,67.52756677284955,UP
2026-01-19 02:00:00,4672.52,4675.96,4668.48,4670.2,1803,4,0,4609.288737931282,4606.206599728917,3.0821382023650585,27.01071428571426,67.03478472391123,UP
2026-01-19 02:00:00,4672.52,4675.96,4668.46,4669.07,2024,4,0,4609.181118883664,4606.162286003336,3.0188328803278637,27.0121428571428,66.66827946584066,UP
2026-01-19 02:00:00,4672.52,4675.96,4665.61,4666.4,2333,4,0,4608.9268331693775,4606.057580120768,2.8692530486096075,27.215714285714252,65.81800812037231,UP
2026-01-19 02:00:00,4672.52,4675.96,4665.61,4666.09,2611,4,0,4608.897309359853,4606.045423257998,2.851886101855598,27.215714285714252,65.7206906419917,UP
2026-01-19 02:00:00,4672.52,4675.96,4665.61,4668.93,2957,4,0,4609.16778555033,4606.1567958072455,3.0109897430847923,27.215714285714252,66.62315056570924,UP
2026-01-19 02:00:00,4672.52,4675.96,4665.61,4669.51,3233,4,0,4609.223023645568,4606.179540905332,3.0434827402359588,27.215714285714252,66.81051202482536,UP
2026-01-19 02:00:00,4672.52,4675.96,4665.61,4669.09,3507,4,0,4609.183023645568,4606.163070317063,3.0199533285049256,27.215714285714252,66.67473144294965,UP
2026-01-19 02:00:00,4672.52,4675.96,4665.61,4669.74,3734,4,0,4609.244928407473,4606.188560513194,3.056367894278992,27.215714285714252,66.88510266491895,UP
2026-01-19 02:00:00,4672.52,4675.96,4665.61,4666.53,3987,4,0,4608.939214121759,4606.062678159994,2.8765359617646027,27.215714285714252,65.85890450243738,UP
2026-01-19 02:00:00,4672.52,4675.96,4665.61,4665.99,4249,4,0,4608.88778555033,4606.041501689362,2.84628386096756,27.215714285714252,65.68935926773433,UP
2026-01-19 02:00:00,4672.52,4675.96,4665.61,4666.44,4468,4,0,4608.930642693187,4606.0591487482225,2.871493944964641,27.215714285714252,65.83058621183862,UP
2026-01-19 02:00:00,4672.52,4675.96,4665.61,4666.76,4678,4,0,4608.961118883663,4606.071697767856,2.889421115807636,27.215714285714252,65.93138427675956,UP
2026-01-19 02:00:00,4672.52,4675.96,4665.61,4668.45,4949,4,0,4609.122071264615,4606.137972277796,2.984098986819845,27.215714285714252,66.46888567293755,UP
2026-01-19 02:00:00,4672.52,4675.96,4665.61,4667.95,5188,4,0,4609.074452216996,4606.118364434618,2.9560877823778355,27.215714285714252,66.3089509143405,UP
